"keys","uz","tr","en"
"cut.ep014_intro.01","Sultonning ovida shoshilinch qadam yo'q, bek. Faqat sabr bor.","Sultanın avında acele adım yoktur bey, yalnızca sabır vardır.","On the sultan's hunt there is no haste, bey — only patience."
"cut.ep014_intro.02","O'rmon jim. Qushlar uchmayapti. Kimdir bizdan oldin kelgan.","Orman sessiz. Kuşlar uçmuyor. Birileri bizden önce gelmiş.","The forest is silent. No birds rise. Someone came before us."
"cut.ep014_intro.03","Ko'zingiz o'tkir ekan, bek. Sizni shuning uchun chaqirdim.","Gözünüz keskinmiş bey. Sizi tam da bunun için çağırdım.","Your eye is sharp, bey. That is exactly why I summoned you."
"cut.ep014_intro.04","Ov — davlatning kichik surati. Kim kimni quvlayotganini ko'ring.","Av, devletin küçük bir suretidir. Kimin kimi kovaladığını görün.","A hunt is the state in miniature. See who chases whom."
"cut.ep014_intro.05","Mana xanjarim. Dastasi mix boshi — mix hech qachon yashirinmaydi.","İşte hançerim. Kabzası çivi başı — çivi asla saklanmaz.","Here is my dagger. Its hilt a nail head — nails never hide."
"cut.ep014_intro.06","Qurol emas, niyat yashirinmasligi kerak, emir hazratlari.","Silah değil, niyet saklanmamalıdır emir hazretleri.","Not the weapon, my emir — it is intent that must not hide."
"cut.ep015_intro.01","Bu yer bo'sh. Ertaga bu yerda oba nafas oladi.","Burası boş. Yarın burada bir oba nefes alacak.","This ground is empty. Tomorrow a tribe will breathe here."
"cut.ep015_intro.02","Birinchi qoziqni o'zing qoq. Zamin ismingni eslab qolsin.","İlk kazığı kendin çak. Toprak adını hatırlasın.","Drive the first stake yourself. Let the earth remember your name."
"cut.ep015_intro.03","Qoziq chuqur ketsin — chuqur ildiz shamoldan qo'rqmaydi.","Kazık derine insin — derin kök rüzgârdan korkmaz.","Let the stake go deep — deep roots do not fear wind."
"cut.ep015_intro.04","Temirxona tayyor, bek. Endi olov bizning tilimizda gapiradi.","Demirhane hazır bey. Artık ateş bizim dilimizde konuşuyor.","The forge is ready, bey. Now the fire speaks our tongue."
"cut.ep015_intro.05","Har mix bir maqsad uchun yasaladi. Bunisini buyurtma bilan yasadim.","Her çivi bir maksat için dövülür. Bunu sipariş üzerine dövdüm.","Every nail is forged for a purpose. This one was ordered."
"cut.ep015_intro.06","Kim buyurgan bo'lsa, bir kun uni tanib qolamiz.","Kim sipariş verdiyse, bir gün onu tanıyacağız.","Whoever ordered it, one day we will know his face."
"cut.ep015_intro.07","Chegarada olov ko'rinyapti. Kimdir tunda ko'chib kelmoqda.","Sınırda ateşler görünüyor. Birileri gece göç ediyor.","Fires on the border. Someone is moving through the night."
"cut.ep016_intro.01","O'n minglab odam. Birortasi bizga qilich ko'tarmadi.","On binlerce insan. Hiçbiri bize kılıç kaldırmadı.","Tens of thousands of people. Not one raised a sword."
"cut.ep016_intro.02","Amaki, noningiz bormi? Onam uch kundan beri uxlayapti.","Amca, ekmeğin var mı? Annem üç gündür uyuyor.","Uncle, have you bread? My mother has slept three days."
"cut.ep016_intro.03","Uchta nonim bor. Ikkitasini ol, onangni uyg'ot.","Üç ekmeğim var. İkisini al, anneni uyandır.","I have three loaves. Take two and wake your mother."
"cut.ep016_intro.04","Meni sarkarda deyishadi. Men esa och og'izlarni sanayman.","Bana kumandan diyorlar. Bense aç ağızları sayıyorum.","They call me a commander. I only count hungry mouths."
"cut.ep016_intro.05","Bu chandiqni mo'g'ul qoldirmadi. Uni o'z sultonim mixladi.","Bu izi Moğol bırakmadı. Bunu kendi sultanım çiviledi.","No Mongol left this scar. My own sultan nailed it there."
"cut.ep016_intro.06","Xiyonat qilmagan odamni faqat qo'rqoq sulton mixlaydi.","İhanet etmemiş bir adamı ancak korkak bir sultan çiviler.","Only a frightened sultan nails a man who never betrayed him."
"cut.ep016_intro.07","Bir kun siz ham qochasiz. O'shanda menda joy bor.","Bir gün siz de kaçacaksınız. O gün bende yer var.","One day you will flee too. I will keep a place."
"cut.ep017_intro.01","Konya devorlari toshdan emas — qog'oz va muhrdan qurilgan.","Konya'nın duvarları taştan değil — kâğıt ve mühürden örülmüş.","Konya's walls are not stone — they are paper and seals."
"cut.ep017_intro.02","Ochilmagan kitob devordir. Ochilsa — darvoza bo'ladi, bek.","Açılmamış kitap duvardır. Açılırsa kapı olur bey.","An unopened book is a wall. Opened, it becomes a gate."
"cut.ep017_intro.03","Men harflarni tanimayman. Lekin yolg'onni yozuvsiz ham o'qiyman.","Harfleri tanımıyorum. Ama yalanı yazısız da okurum.","I do not know letters. Yet I read a lie unwritten."
"cut.ep017_intro.04","Demak siz allaqachon o'qiy boshlagansiz. Faqat sabr qiling.","Öyleyse siz çoktan okumaya başlamışsınız. Yalnızca sabredin.","Then you have already begun to read. Only be patient."
"cut.ep017_intro.05","Muhringiz tayyor, bek. Men uni bir kechada topdim.","Mührünüz hazır bey. Onu bir gecede buldum.","Your seal is ready, bey. I found it in one night."
"cut.ep017_intro.06","Men sizga yordam berdim. Bir kun men ham so'rayman.","Ben size yardım ettim. Bir gün ben de isteyeceğim.","I have helped you, bey. One day I shall ask as well."
"cut.ep017_intro.07","So'rang. Lekin men qarzni qilich bilan to'lamayman.","İsteyin. Fakat ben borcu kılıçla ödemem.","Ask, then. But I will not pay a debt with steel."
"cut.ep018_intro.01","Yaylov gullagan. Bu yozni bolalar umrbod eslab qoladi.","Yayla çiçek açtı. Bu yazı çocuklar ömür boyu hatırlar.","The high pasture is in bloom. The children will remember this summer."
"cut.ep018_intro.02","Kamonni o'zim yasadim. Yog'ochi yosh, xuddi sening kabi.","Yayı kendim yaptım. Ağacı genç, tıpkı senin gibi.","I made this bow myself. Its wood is young, like you."
"cut.ep018_intro.03","Ota, sening qo'ling katta. Menikiga sig'maydi.","Baba, senin elin büyük. Benimkine sığmıyor.","Father, your hand is big. Mine cannot hold it."
"cut.ep018_intro.04","Bir kun mening qo'lim senga kichkina ko'rinadi, o'g'lim.","Bir gün benim elim sana küçük görünecek oğlum.","One day my hand will look small to you, my son."
"cut.ep018_intro.05","Bek, tog' etagida chorva yiqilyapti. Bo'rilar ham g'alati.","Bey, dağ eteğinde hayvanlar düşüyor. Kurtlar da tuhaf.","Bey, cattle are falling below the ridge. The wolves act strangely."
"cut.ep018_intro.06","Bayram to'xtamasin. Lekin bu kecha qo'riqchini ko'paytiramiz.","Şenlik durmasın. Ama bu gece nöbeti çoğaltacağız.","Let the feast go on. But tonight we double the watch."
"cut.ep018_intro.07","Chopar keldi. Sulton kasal — Kubadabadga chaqiryapti.","Ulak geldi. Sultan hasta — Kubadabad'a çağırıyor.","A rider came. The sultan is ill — he summons you to Kubadabad."
"cut.ep019_intro.01","Bu dasturxonda hamma do'st. Shuning uchun men ehtiyot bo'laman.","Bu sofrada herkes dosttur. Ben de bu yüzden ihtiyatlıyım.","At this table everyone is a friend. That is why I stay careful."
"cut.ep019_intro.02","Kimdir yemayapti, hazratim. Kimdir qo'lini juda ko'p yuvyapti.","Biri yemek yemiyor hazretlerim. Biri de ellerini fazlaca yıkıyor.","Someone is not eating, my lord. Someone washes his hands too often."
