keys,uz,tr,en
"cut.ep007_intro.01","Bu shaharda uch ming ovoz bor, birortasi bizniki emas.","Bu şehirde üç bin ses var, hiçbiri bizim değil.","Three thousand voices in this city, and not one is ours."
"cut.ep007_intro.02","Bek, saroy shimolda. Yo'lni o'zimiz topamiz.","Bey, saray kuzeyde. Yolu kendimiz bulacağız.","Bey, the palace lies north. We will find the way ourselves."
"cut.ep007_intro.03","Ko'zingni pastda tut. Bu yerda qilich emas, odob kesadi.","Gözünü aşağıda tut. Burada kılıç değil, edep keser.","Keep your eyes low. Here manners cut deeper than steel."
"cut.ep007_intro.04","Men amirman. Lekin qarorni doim boshqa og'iz aytadi.","Ben emirim. Ama kararı hep başka bir ağız söyler.","I am the emir. Yet another mouth always speaks the ruling."
"cut.ep007_intro.05","Bolaning tojini men saqlayman. Yerni esa mendan so'rang.","Çocuğun tacını ben korurum. Toprağı ise benden isteyin.","I guard the boy's crown. Ask the land of me instead."
"cut.ep007_intro.06","Ustundagi qon qurigan, ammo temir hali ham och.","Direkteki kan kurumuş, ama demir hâlâ aç.","The blood on that post is dry; the iron still hungers."
"cut.ep008_intro.01","Cho'l odamga yulduzlarni o'rgatadi, keyin ovozini oladi.","Çöl insana yıldızları öğretir, sonra sesini alır.","The desert teaches a man the stars, then takes his voice."
"cut.ep008_intro.02","Bek, minoralar ko'rindi. Damashq bizni kutyapti.","Bey, minareler göründü. Şam bizi bekliyor.","Bey, the minarets have risen. Damascus is waiting for us."
"cut.ep008_intro.03","Maydonda bir odamni mixlashyapti. Men to'xtatolmayman.","Meydanda bir adamı çiviliyorlar. Ben durduramam.","In the square they are nailing a man. I cannot stop it."
"cut.ep008_intro.04","Nega qaray olmayapsan, o'g'lim? Ayt, nima ko'rding?","Neden bakamıyorsun evladım? Söyle bana, ne gördün?","Why can you not look, my son? Tell me what you saw."
"cut.ep008_intro.05","Chunki qo'lim bo'sh. Chunki men bu yerda begonaman.","Çünkü elim boş. Çünkü ben burada yabancıyım.","Because my hands are empty. Because here I am a stranger."
"cut.ep008_intro.06","Yo'q. Chunki sen o'sha mixni o'zingda ko'rding.","Hayır. Çünkü o çiviyi kendinde gördün.","No. Because you saw that very nail inside yourself."
"cut.ep009_intro.01","Chodirlar joyi o'zgargan. Oba menga begonadek qaraydi.","Çadırların yeri değişmiş. Oba bana yabancı gibi bakıyor.","The tents have shifted. The camp looks at me like a stranger."
"cut.ep009_intro.02","Sen yo'qligingda kimdir bu yerda yangi ip to'qidi.","Sen yokken biri burada yeni bir ip dokudu.","While you were gone, someone here wove a new thread."
"cut.ep009_intro.03","Bek o'g'li qaytdi. Endi oba yana ikkiga bo'linadi.","Bey oğlu döndü. Şimdi oba yine ikiye bölünür.","The bey's son returns. Now the camp splits in two again."
"cut.ep009_intro.04","Uning chodirida bir dasta mix bor. Taqa uchun uzun.","Çadırında bir deste çivi var. Nal için fazla uzun.","His tent holds a bundle of nails, too long for horseshoes."
"cut.ep009_intro.05","Dalil kuchsiz bo'lsa, ayblov emas, sabr qurol bo'ladi.","Delil zayıfsa, suçlama değil, sabır silah olur.","When proof is weak, patience becomes the weapon, not accusation."
"cut.ep009_intro.06","Sabr qil, o'g'lim. Xoin o'z ovozi bilan fosh bo'ladi.","Sabret oğlum. Hain kendi sesiyle ele verir.","Be patient, my son. A traitor is undone by his own voice."
"cut.ep010_intro.01","Aykiz, kul! Bu o'rmon bizning to'yimizni ko'radi.","Aykız, gül! Bu orman bizim düğünümüzü görecek.","Aykiz, laugh! This forest will yet see our wedding."
"cut.ep010_intro.02","Sekinroq yur, alp. Tuman ichida yo'l ko'rinmaydi.","Yavaş git alp. Sisin içinde yol görünmüyor.","Ride slower, alp. The road is lost inside this fog."
"cut.ep010_intro.03","Kamonlar tayyor. Yo'lni yopinglar, birortasi qaytmasin.","Yaylar hazır. Yolu kapatın, hiçbiri dönmesin.","Crossbows ready. Seal the road; let none of them return."
"cut.ep010_intro.04","Turgut! Ovozimni eshit, o'rmon seni yutmasin!","Turgut! Sesimi duy, orman seni yutmasın!","Turgut! Hear my voice, do not let the forest take you!"
"cut.ep010_intro.05","Ular uni sudrab ketishyapti. Barmoqlari yerni tirnaydi.","Onu sürükleyip götürüyorlar. Parmakları toprağı tırmalıyor.","They are dragging him away; his fingers claw the earth."
"cut.ep010_intro.06","Men bu izlarni unutmayman. Bagras darvozasi ochiladi.","Bu izleri unutmam. Bagras'ın kapısı açılacak.","I will not forget these marks. The gate of Bagras will open."
"cut.ep011_intro.01","Suv sovuq, nafas qisqa. Panjara qo'l bilan ochiladi.","Su soğuk, nefes kısa. Parmaklık elle açılacak.","The water is cold, the breath short. The grate opens by hand."
"cut.ep011_intro.02","Bek, mash'alni o'chir. Zulmat bugun bizning qalqonimiz.","Bey, meşaleyi söndür. Karanlık bugün bizim kalkanımız.","Bey, douse the torch. Tonight the darkness is our shield."
"cut.ep011_intro.03","Yigirma ikki qorovul. Birortasi qichqirsa, hammasi tugaydi.","Yirmi iki nöbetçi. Biri bağırırsa her şey biter.","Twenty-two guards. If one of them shouts, everything ends."
"cut.ep011_intro.04","Kim keldi? Yorug'likni olib keting, men aytmayman.","Kim geldi? Işığı götürün, ben söylemem.","Who is there? Take the light away; I will not speak."
"cut.ep011_intro.05","Kaftlaring sog' qolibdi. Ular seni mixlashmadi, qardosh.","Avuçların sağlam kalmış. Seni çivilemediler kardeşim.","Your palms are whole. They did not nail you, brother."
"cut.ep011_intro.06","Hali. Va men sening ismingni eslay olmayapman.","Henüz. Ve ben senin adını hatırlayamıyorum.","Not yet. And I cannot remember your name."
"cut.ep012_intro.01","Arqonni torting! Bu devor bugun ovozimizni eshitadi.","Halatı çekin! Bu duvar bugün sesimizi duyacak.","Pull the rope! Today this wall will hear our voice."
"cut.ep012_intro.02","To'rt ming askar, sakson oq plash. Devor hali baland.","Dört bin asker, seksen ak pelerin. Duvar hâlâ yüksek.","Four thousand soldiers, eighty white cloaks. The wall still stands high."
"cut.ep012_intro.03","Bek, mancınıq tayyor! Tosh uchsa, chang bizni yashiradi.","Bey, mancınık hazır! Taş uçarsa toz bizi gizler.","Bey, the trebuchet is ready! When the stone flies, dust hides us."
"cut.ep012_intro.04","Narvonlar burjga qo'yildi. Yuqorida faqat o'lim kutadi.","Merdivenler burca dayandı. Yukarıda sadece ölüm bekliyor.","The ladders rest on the tower. Above, only death is waiting."
"cut.ep012_intro.05","Men qamalni yutish uchun kelmadim. Turgutni olib chiqaman.","Ben kuşatmayı kazanmaya gelmedim. Turgut'u çıkaracağım.","I did not come to win a siege. I came for Turgut."
"cut.ep012_intro.06","Halab lashkari yiqilsa ham, sizning nomingiz qoladi.","Halep ordusu düşse de sizin adınız kalır.","Even if Aleppo's army falls, your name will remain."
"cut.ep013_intro.01","Yigirma ming odam, bitta nafas. Nog'ora hali jim.","Yirmi bin adam, tek nefes. Davul henüz sessiz.","Twenty thousand men, one breath. The war drum is still silent."
"cut.ep013_intro.02","Bek, saf ichida yurmoq, bu ham bir duo.","Bey, safın içinde yürümek de bir duadır.","Bey, to walk among the ranks is itself a prayer."
"cut.ep013_intro.03","Chap qanot ushlansa, Xorazm shohi maydonni tashlaydi.","Sol kanat tutulursa Harezm şahı meydanı bırakır.","Hold the left wing and the Khwarezm shah will quit the field."
"cut.ep013_intro.04","Sultonim, chap qanotni turkman alplari ushlab turadi.","Sultanım, sol kanadı Türkmen alpleri tutacak.","My Sultan, the Turkmen alps will hold the left wing."
