keys,uz,tr,en
"cut.ep028_intro.01","Bozor jim. Jim bozor har doim yomon xabar keltiradi.","Çarşı sessiz. Sessiz çarşı her zaman kötü haber getirir.","The market is silent. Silent markets always carry bad news."
"cut.ep028_intro.02","Mato Halabdan keldi, bek. Arzon beraman, foydangizga bo'ladi.","Kumaş Halep'ten geldi bey. Ucuza veririm, kârınıza olur.","This cloth came from Aleppo, bey. Cheap, and to your profit."
"cut.ep028_intro.03","Yengingni tushir, savdogar. Oltin savdoga aralashmaydi.","Yenini indir tüccar. Altın alışverişe karışmaz.","Lower your sleeve, merchant. Gold takes no part in trade."
"cut.ep028_intro.04","Men hech narsa ko'rsatmadim. Siz ham hech narsa ko'rmadingiz.","Ben hiçbir şey göstermedim. Siz de hiçbir şey görmediniz.","I showed you nothing. And you saw nothing at all."
"cut.ep028_intro.05","Turgut! Yo'lni to's. U Sivasga qochmoqchi.","Turgut! Yolu kes. Sivas'a kaçmak istiyor.","Turgut! Cut the road. He means to flee toward Sivas."
"cut.ep028_intro.06","Ortidan boraman, bek. Oltin o'z egasini aytib beradi.","Peşinden gidiyorum bey. Altın sahibini kendi söyler.","I am after him, bey. Gold always names its owner."
"cut.ep029_intro.01","Dasht juda tinch. Bunday tinchlik ham qurol bo'ladi.","Bozkır fazla sakin. Böyle bir sessizlik de silahtır.","The steppe is too quiet. Such quiet is also a weapon."
"cut.ep029_intro.02","Bek, ufqda chang bor. Bir chavandoz... yo'q, o'nta.","Bey, ufukta toz var. Bir atlı... hayır, on atlı.","Bey, dust on the horizon. One rider... no, ten of them."
"cut.ep029_intro.03","Orqamizda ham bor. Chapda ham. Doira yopilyapti.","Arkamızda da varlar. Solda da. Halka kapanıyor.","They are behind us too. And left. The circle is closing."
"cut.ep029_intro.04","Bu ov emas, bu mashq. Ular bizni o'lchashyapti.","Bu av değil, talim. Bizi ölçüyorlar.","This is not a hunt but a drill. They measure us."
"cut.ep029_intro.05","O'qlarni sanang. Har o'q qo'limdan bir tomchi qon.","Okları sayın. Her ok elimden bir damla kan demek.","Count your arrows. Each arrow costs my hand a drop."
"cut.ep029_intro.06","Zaif joy shimolda, bek. U yerdagi otlar charchagan.","Zayıf yer kuzeyde bey. Oradaki atlar yorulmuş.","The weak point lies north, bey. Their horses are spent."
"cut.ep029_intro.07","Quvishmadi. Anavi qo'l ko'tardi, bu salom emas.","Kovalamadılar. Şu adam el kaldırdı, bu selam değil.","They did not pursue. That raised hand is no greeting."
"cut.ep030_intro.01","Devor uch joyda ingichka, bek. Vaqtimiz juda oz.","Sur üç yerde ince bey. Vaktimiz çok az.","The wall is thin in three places, bey. Time is short."
"cut.ep030_intro.02","Tosh og'ir emas. Og'irligi uni kim ko'targanida.","Taş ağır değil. Ağırlığı onu kimin taşıdığındadır.","The stone is not heavy. Its weight is in who carries it."
"cut.ep030_intro.03","Men ham ko'taraman, bek. Menda ikki qo'l bor.","Ben de taşırım bey. Benim iki elim var.","I can carry too, bey. I still have both hands."
"cut.ep030_intro.04","Bir qo'l ham yetadi, bolam. Yurak sanaladi.","Bir el de yeter oğlum. Sayılan yürektir.","One hand is enough, child. It is the heart that counts."
"cut.ep030_intro.05","Ufqda chang, bek. Qamal mashinalarini sudrab kelishyapti.","Ufukta toz var bey. Kuşatma makinelerini sürüklüyorlar.","Dust on the horizon, bey. They drag siege engines behind."
"cut.ep030_intro.06","Ayollar va bolalar ichkariga. Devor bizga qoladi.","Kadınlar ve çocuklar içeri. Sur bize kalır.","Women and children inside. The wall stays with us."
"cut.ep030_intro.07","To'lqin chekindi, lekin ketmadi. Qarang, oq tug'.","Dalga çekildi ama gitmedi. Bakın, ak tuğ.","The wave pulled back but did not leave. Look, white standard."
"cut.ep031_intro.01","O'n uch yil o'tdi. Bu safar mehmon bo'lib kirding.","On üç yıl geçti. Bu kez misafir olarak girdin.","Thirteen years have passed. This time you enter as guest."
"cut.ep031_intro.02","O'sha darvoza. O'sha hovli. Faqat odamlar boshqa.","Aynı kapı. Aynı avlu. Sadece insanlar başka.","The same gate. The same yard. Only the men changed."
"cut.ep031_intro.03","Qo'lingni ko'rsat. Menikida ham o'sha teshik bor.","Elini göster. Benimkinde de aynı delik var.","Show me your hand. Mine carries the very same hole."
"cut.ep031_intro.04","Bek, oq plashga ishonch yo'q. O'sha tun yodingizdami?","Bey, ak pelerine güven olmaz. O geceyi hatırlıyor musunuz?","Bey, no white cloak is trustworthy. Do you recall that night?"
"cut.ep031_intro.05","Qora bulut kelganda soya tanlab o'tirilmaydi, Turgut.","Kara bulut gelince gölge seçilmez, Turgut.","When the black cloud comes, one does not choose shade."
"cut.ep031_intro.06","Mix qo'lni emas, ismni teshadi. Sening isming nima?","Çivi eli değil, ismi deler. Senin ismin nedir?","The nail pierces the name, not the hand. Your name?"
"cut.ep031_intro.07","Ertug'rul. Va bu ism hali tugagani yo'q.","Ertuğrul. Ve bu isim henüz bitmedi.","Ertugrul. And that name is not finished yet."
"cut.ep032_intro.01","Qirq ming chodir. Bu to'da emas, bu davlat.","Kırk bin çadır. Bu bir sürü değil, bu devlet.","Forty thousand tents. This is no horde. This is a state."
"cut.ep032_intro.02","Yorliqni ko'rsating. Ismingiz daftarga yozib qo'yiladi.","Yarlığı gösterin bey. İsminiz deftere yazılacak.","Show your tablet. Your name goes into the ledger."
"cut.ep032_intro.03","Yozing. Men ham ularning hisobida turaverayin.","Yazın. Ben de onların hesabında durayım.","Write it. Let me stand in their reckoning as well."
"cut.ep032_intro.04","Qo'lingni ko'rsat. Yaqinroq kel, men yaxshi ko'raman.","Elini göster. Yaklaş, ben iyi görürüm.","Show me your hand. Come closer, my eyes are sharp."
"cut.ep032_intro.05","Bu mo'g'ul ishi emas. Buni o'z xalqing qilgan.","Bu Moğol işi değil. Bunu kendi halkın yaptı.","This is no Mongol work. Your own people did this."
"cut.ep032_intro.06","Sizlar tez o'ldirasiz. Bu rahm emas, shoshilish.","Siz çabuk öldürürsünüz. Bu merhamet değil, aceledir.","You kill quickly. That is not mercy, only haste."
"cut.ep032_intro.07","Bir yildan keyin Sivasda bo'laman. Men shoqollarni sanayman.","Bir yıl sonra Sivas'ta olacağım. Ben çakalları sayarım.","In one year I will be at Sivas. I count jackals."
"cut.ep033_intro.01","Ular o'ttiz ming. Biz undan olti barobar ko'pmiz.","Onlar otuz bin. Biz ondan altı kat fazlayız.","They are thirty thousand. We are six times their number."
"cut.ep033_intro.02","Amirlar pichirlashyapti, bek. Hammasi qo'lingizga qarayapti.","Beyler fısıldaşıyor bey. Hepsi elinize bakıyor.","The emirs are whispering, bey. They all watch your hand."
"cut.ep033_intro.03","Mayli, qarashsin. Men xaritaga qarayman, ularga emas.","Varsın baksınlar. Ben haritaya bakarım, onlara değil.","Let them look. I watch the map, not their faces."
"cut.ep033_intro.04","Kose Dag' tor. U yerda ko'p qo'shin sig'maydi.","Köse Dağ dardır. Orada kalabalık ordu sığmaz.","Kose Dag is narrow. A great army cannot deploy there."
"cut.ep033_intro.05","Biz ularni sonimiz bilan bosamiz. Kengash tugadi.","Onları sayımızla ezeceğiz. Divan sona ermiştir.","We will crush them with numbers. This council is ended."
"cut.ep033_intro.06","U hech qachon mo'g'ulni o'z ko'zi bilan ko'rmagan.","O hiçbir zaman bir Moğol'u kendi gözüyle görmedi.","He has never seen a Mongol with his own eyes."
"cut.ep033_intro.07","Sonni sanash oson, bek. Qo'rquvni sanash qiyin.","Sayıyı saymak kolay bey. Korkuyu saymak zordur.","Counting numbers is easy, bey. Counting fear is hard."
"cut.ep034_intro.01","Lager jim, bek. Bugun hech kim qo'shiq aytmayapti.","Ordugâh sessiz bey. Bugün kimse türkü söylemiyor.","The camp is silent, bey. No one is singing tonight."
