"keys","uz","tr","en"
"chr.kopek.name","Sa'd ad-Din Ko'pek","Sadettin Köpek","Sadettin Kopek"
"chr.xizmatkor.name","Xizmatkor","Hizmetkâr","Servant"
"chr.husam.name","Husomiddin Qaraja","Hüsameddin Karaca","Husameddin Karaca"
"chr.sungur.name","Sung'ur","Sungur","Sungur"
"chr.jallod.name","Jallod","Cellat","Executioner"
"chr.haci_bektas.name","Hoji Bektosh Vali","Hacı Bektaş Veli","Haji Bektash Veli"
"chr.darvesh.name","Darvesh","Derviş","Dervish"
"chr.bola.name","Bola","Çocuk","Boy"
"chr.gulbahor.name","Gulbahor Ona","Gülbahar Ana","Mother Gulbahar"
"chr.tekin.name","Tekin Bek","Tekin Bey","Tekin Bey"
"cut.ep021_intro.01","Ikki yuz kishilik han. Va faqat bitta stol.","İki yüz kişilik bir han. Ve tek bir sofra.","An inn built for two hundred. And one table."
"cut.ep021_intro.02","Men bo'shliqni yaxshi ko'raman, bek. U yolg'on gapirmaydi.","Boşluğu severim, Bey. Boşluk yalan söylemez.","I am fond of emptiness, Bey. Emptiness never lies."
"cut.ep021_intro.03","Meni yolg'iz chaqirdingiz. Buning sababini ayting.","Beni buraya yalnız çağırdınız. Bunun sebebini söyleyin.","You called me here alone. Tell me the reason."
"cut.ep021_intro.04","Yolg'iz kelgan odam haqiqatni aytadi, bek. Yolg'iz.","Yalnız gelen adam doğruyu söyler, Bey. Yalnız.","A man who comes alone speaks the truth, Bey."
"cut.ep021_intro.05","Men so'z uchun keldim, savdolashish uchun emas.","Söz için geldim, pazarlık için değil.","I came here for words, not for a bargain."
"cut.ep021_intro.06","Har bir so'z savdo. Narxini keyinroq bilib olasiz.","Her söz bir pazarlıktır. Bedelini sonra öğrenirsiniz.","Every word is a bargain. You learn its price later."
"cut.ep022_intro.01","Ufqda qizil yorug'lik bor, bek. Bu nima?","Ufukta kızıl bir ışık var, Bey. Nedir bu?","There is a red light on the horizon, Bey. What is it?"
"cut.ep022_intro.02","Yong'in. Bu tunda kimningdir qishlog'i yonmoqda.","Yangın. Bu gece birilerinin köyü yanıyor.","Fire. Tonight someone's village is burning down."
"cut.ep022_intro.03","Qanchalik uzoq? Ko'zim bu masofani o'lchay olmayapti.","Ne kadar uzakta? Gözüm bu mesafeyi ölçemiyor.","How far is it? My eye cannot measure that distance."
"cut.ep022_intro.04","Uch kunlik yo'l. Yaxshi ot bilan uch kun.","Üç günlük yol. İyi bir atla tam üç gün.","Three days' ride. Three days on a good horse."
"cut.ep022_intro.05","Unda nega u bu yerdan ko'rinadi, bek? Nega?","Öyleyse neden buradan görünüyor, Bey? Neden?","Then why can we see it from here, Bey? Why?"
"cut.ep022_intro.06","Chunki yonayotgani bitta qishloq emas. Butun chegara yonmoqda.","Çünkü yanan tek bir köy değil. Bütün sınır yanıyor.","Because it is not one village. The whole border burns."
"cut.ep023_intro.01","Devorda bir narsa osilib turibdi, bek. U odam.","Duvarda bir şey asılı duruyor, Bey. O bir adam.","Something hangs upon the wall, Bey. It is a man."
"cut.ep023_intro.02","Sa'd ad-Din Ko'pek. Bir yillik hokimiyat, bir tunlik oxir.","Sadettin Köpek. Bir yıllık iktidar, bir gecelik son.","Sadettin Kopek. A year of power, one night's ending."
"cut.ep023_intro.03","Uni men o'ldirdim, Ertug'rul Bek. Siz kechikdingiz.","Onu ben öldürdüm, Ertuğrul Bey. Siz geç kaldınız.","It was I who killed him, Ertugrul Bey. You came late."
"cut.ep023_intro.04","Men uning o'limi uchun kelmadim. Qog'ozlari uchun keldim.","Onun ölümü için gelmedim. Kâğıtları için geldim.","I did not come for his death. I came for his papers."
"cut.ep023_intro.05","Xonasi yonmoqda. Qog'ozlar kul bo'lmoqda, shoshiling.","Odası yanıyor. Kâğıtlar kül oluyor, acele edin.","His room is burning. The papers turn to ash, hurry."
"cut.ep023_intro.06","Kul ham gapiradi. Faqat uni o'qiy bilish kerak.","Kül de konuşur. Yeter ki okumasını bilesin.","Ash speaks as well. One only needs to read it."
"cut.ep024_intro.01","Bu yerda o'n ikki qorovul bor edi. Endi bittasi ham yo'q.","Burada on iki nöbetçi vardı. Şimdi bir tanesi bile yok.","Twelve guards stood here. Now not even one remains."
"cut.ep024_intro.02","Ular ketdi, bek. Sizni men kutdim, boshqa hech kim emas.","Onlar gitti, Bey. Sizi ben bekledim, başka kimse değil.","They are gone, Bey. I waited for you, no one else."
"cut.ep024_intro.03","Xaritani sen chizding. O'z obangni sotding, Sung'ur.","Haritayı sen çizdin. Kendi obanı sattın, Sungur.","You drew that map. You sold your own camp, Sungur."
"cut.ep024_intro.04","Men sotmadim, bek. Men faqat tirik qolishni tanladim.","Ben satmadım, Bey. Sadece hayatta kalmayı seçtim.","I sold nothing, Bey. I merely chose to stay alive."
"cut.ep024_intro.05","Eshikni yoping. Bek endi hech qayerga shoshilmaydi.","Kapıyı kapatın. Bey artık hiçbir yere acele etmiyor.","Shut the door. The Bey is in no hurry now."
"cut.ep024_intro.06","Olovni ko'taring. Va stolni tozalab qo'ying.","Ateşi harlayın. Ve sofrayı temizleyip hazırlayın.","Build up the fire. And clear the table for me."
"cut.ep025_intro.01","Uch kun. Yoki uch yil. Qor sanoqni yeb qo'ydi.","Üç gün. Ya da üç yıl. Kar sayıyı yuttu.","Three days. Or three years. The snow ate the count."
"cut.ep025_intro.02","Tur, o'g'lim. Yer sovuq, lekin u seni chaqirmadi.","Kalk oğlum. Toprak soğuk, ama seni çağırmadı.","Rise, my son. The earth is cold, but it has not called you."
"cut.ep025_intro.03","Qo'lim yo'q, ota. Men endi qilich ko'tara olmayman.","Elim yok, baba. Artık kılıç kaldıramam.","My hand is gone, father. I can lift no sword now."
"cut.ep025_intro.04","Qilichni qo'l ko'tarmaydi, o'g'lim. Uni niyat ko'taradi.","Kılıcı el kaldırmaz, oğlum. Onu niyet kaldırır.","A hand does not lift the sword, son. Intent lifts it."
"cut.ep025_intro.05","Unda men hali o'lmaganman. Men faqat sinmoqdaman.","Öyleyse ben daha ölmedim. Ben sadece kırılıyorum.","Then I am not dead yet. I am only breaking."
"cut.ep025_intro.06","Sinmoq yo'lning oxiri emas. U yo'lning boshlanishi.","Kırılmak yolun sonu değil. O yolun başlangıcıdır.","Breaking is not the road's end. It is its beginning."
"cut.ep026_intro.01","Uni g'or og'zida topdik, ota. Qorda yotgan edi.","Onu mağaranın ağzında bulduk, baba. Karda yatıyordu.","We found him at the cave mouth, father. Lying in snow."
"cut.ep026_intro.02","O'ng qo'ling bilan olma. U endi senga xizmat qilmaydi.","Sağ elinle alma. O artık sana hizmet etmiyor.","Do not take it with your right hand. It serves you no longer."
"cut.ep026_intro.03","Men uni hali ham o'zimniki deb bilaman, ota.","Ben onu hâlâ kendimden sayıyorum, baba.","I still count that hand as my own, father."
"cut.ep026_intro.04","Bilaver. Lekin piyolani chap qo'ling bilan ol.","Say öyleyse. Ama tası sol elinle al.","Count it so. But take the cup with your left hand."
"cut.ep026_intro.05","Menga achinyapsizmi, ota? Bu rahmingiz keldimi?","Bana acıyor musunuz, baba? Bu merhamet midir?","Do you pity me, father? Is this your mercy?"
"cut.ep026_intro.06","Yo'q. Men senga havas qilyapman, bolam.","Hayır, acımıyorum. Ben sana imreniyorum, evladım.","No. I envy you, my child."
"cut.ep026_intro.07","Ko'pchilik qo'lsiz o'zi kim ekanini hech qachon bilmaydi.","Çoğu insan elsiz kim olduğunu hiçbir zaman bilmez.","Most men never learn who they are without a hand."
"cut.ep027_intro.01","Bayroq boshqa. Lekin bu chodirlar bir vaqtlar meniki edi.","Bayrak başka. Ama bu çadırlar bir zamanlar benimdi.","The banner is different. But these tents were once mine."
"cut.ep027_intro.02","Ona! Ona, bir begona keldi! Qo'li osilib qolgan!","Anne! Anne, bir yabancı geldi! Eli sarkıyor!","Mother! Mother, a stranger has come! His hand hangs limp!"
"cut.ep027_intro.03","Yaqin kelma, yo'lovchi. Bu oba motam tutmoqda.","Yaklaşma, yolcu. Bu oba yas tutuyor.","Come no closer, traveler. This camp is in mourning."
"cut.ep027_intro.04","Kim uchun motam tutasiz, ona? Ismini ayting.","Kimin için yas tutuyorsunuz, ana? Adını söyleyin.","For whom do you mourn, mother? Speak his name."
"cut.ep027_intro.05","Bekimiz uchun. Toshda ismi bor, anavi tepada.","Beyimiz için. Adı taşta yazılı, şu tepede.","For our Bey. His name is on the stone, up there."
"cut.ep027_intro.06","Bek o'ldi, yo'lovchi. Bu oba endi mening qo'limda.","Bey öldü, yolcu. Bu oba artık benim elimde.","The Bey is dead, traveler. This camp is in my hands now."
